395012,Limbayat,Surat,Gujarat
395013,Magdalla,Surat,Gujarat
395014,Umra,Surat,Gujarat
395017,Piplod,Surat,Gujarat
395023,Pal,Surat,Gujarat
395024,Punagam,Surat,Gujarat
395006,Chhaprabhatha,Surat,Gujarat
395004,Dabholi,Surat,Gujarat
395007,Jahangirpura,Surat,Gujarat
395005,Palanpur,Surat,Gujarat
395002,Salabatpura,Surat,Gujarat
395003,Kapodra,Surat,Gujarat
395008,Bhatar,Surat,Gujarat
395010,Godadara,Surat,Gujarat
395012,Bhestan,Surat,Gujarat
395023,Adajan Gam,Surat,Gujarat
394210,Sachin,Surat,Gujarat
394221,Sachin GIDC,Surat,Gujarat
394230,Kim,Surat,Gujarat
394305,Bardoli,Surat,Gujarat
394601,Olpad,Surat,Gujarat
394510,Hazira,Surat,Gujarat
394540,Kosamba,Surat,Gujarat
394550,Dumas,Surat,Gujarat
394107,Kamrej,Surat,Gujarat
394180,Ichhapore,Surat,Gujarat
394185,Utran,Surat,Gujarat
394130,Mandvi,Surat,Gujarat
394125,Kadodara,Surat,Gujarat
395007,Vesu,Surat,Gujarat
395017,Athwalines,Surat,Gujarat
395001,Delhi Gate,Surat,Gujarat
395002,Nanpura,Surat,Gujarat
395003,Haripura,Surat,Gujarat
pincode,area,city,state
394101,Mota Varachha,Surat,Gujarat
395007,Vesu,Surat,Gujarat
395017,Athwalines,Surat,Gujarat
395001,Delhi Gate,Surat,Gujarat
395002,Nanpura,Surat,Gujarat
395003,Haripura,Surat,Gujarat
395009,Sarthana,Surat,Gujarat
395004,Singanpore,Surat,Gujarat
395006,Kosad,Surat,Gujarat
395007,City Light,Surat,Gujarat
395007,VIP Road,Surat,Gujarat
395005,Ram Nagar (Adajan),Surat,Gujarat
395024,Nana Varachha,Surat,Gujarat
395010,Parvat Gam,Surat,Gujarat
395012,Udhna Gam,Surat,Gujarat
394516,Dindoli,Surat,Gujarat
394210,Bhestan (rural belt),Surat,Gujarat
394185,Kamrej,Surat,Gujarat
pincode,area,city,state
360001,Rajkot HO,Rajkot,Gujarat
360002,Bhaktinagar,Rajkot,Gujarat
360003,Raiya Road,Rajkot,Gujarat
360004,Kotecha Nagar,Rajkot,Gujarat
360005,University Road,Rajkot,Gujarat
360006,Rajkot Marketing Yard,Rajkot,Gujarat
360007,Kuvadava Road,Rajkot,Gujarat
360370,Race Course,Rajkot,Gujarat
360110,Gondal Road,Rajkot,Gujarat
360020,Kalawad Road,Rajkot,Gujarat
360024,Mavdi,Rajkot,Gujarat
360022,Nana Mava,Rajkot,Gujarat
360021,Morbi Road,Rajkot,Gujarat
360025,Madhapar,Rajkot,Gujarat
360023,Vavdi,Rajkot,Gujarat
360035,Metoda GIDC,Rajkot,Gujarat
360450,Shapar-Veraval,Rajkot,Gujarat
360311,Lodhika,Rajkot,Gujarat
360030,Kasturba Road,Rajkot,Gujarat
360050,Greenland Chowkdi,Rajkot,Gujarat
360003,Yagnik Road,Rajkot,Gujarat
360001,Jubilee Garden,Rajkot,Gujarat
360001,Dhebar Road,Rajkot,Gujarat
360002,Aji Industrial Area,Rajkot,Gujarat
360004,Amin Marg,Rajkot,Gujarat
360005,Indira Circle,Rajkot,Gujarat
360006,Marketing Yard,Rajkot,Gujarat
360007,Navagam,Rajkot,Gujarat
360020,Munjka,Rajkot,Gujarat
360022,150 Feet Ring Road,Rajkot,Gujarat
360024,Ambika Township,Rajkot,Gujarat
360025,Ravki,Rajkot,Gujarat
360110,Vavdi Industrial Area,Rajkot,Gujarat
360370,Yagnik Road Extension,Rajkot,Gujarat
390001,Vadodara HO,Vadodara,Gujarat
390002,Fatehgunj,Vadodara,Gujarat
390003,Raopura,Vadodara,Gujarat
390004,Pratapnagar,Vadodara,Gujarat
390005,Alkapuri,Vadodara,Gujarat
390006,Vadiwadi,Vadodara,Gujarat
390007,Subhanpura,Vadodara,Gujarat
390008,Gorwa,Vadodara,Gujarat
390009,Karelibaug,Vadodara,Gujarat
390010,Makarpura,Vadodara,Gujarat
390011,Manjalpur,Vadodara,Gujarat
390012,Atladara,Vadodara,Gujarat
390013,Tandalja,Vadodara,Gujarat
390014,Bhayli,Vadodara,Gujarat
390015,Gotri,Vadodara,Gujarat
390016,Vasna Road,Vadodara,Gujarat
390017,Akota,Vadodara,Gujarat
390018,Chhani,Vadodara,Gujarat
390019,Ajwa Road,Vadodara,Gujarat
390020,Nizampura,Vadodara,Gujarat
391740,Padra,Vadodara,Gujarat
391243,Waghodia,Vadodara,Gujarat
391410,Karjan,Vadodara,Gujarat
391760,Savli,Vadodara,Gujarat
391346,Por,Vadodara,Gujarat
390021,Old Padra Road,Vadodara,Gujarat
390022,Harni,Vadodara,Gujarat
390023,Sama,Vadodara,Gujarat
390024,New VIP Road,Vadodara,Gujarat
390025,Warasiya,Vadodara,Gujarat
390019,Kishanwadi,Vadodara,Gujarat
390020,Ellora Park,Vadodara,Gujarat
390007,Diwalipura,Vadodara,Gujarat
390015,Sevasi,Vadodara,Gujarat
390014,Bill,Vadodara,Gujarat
pincode,area,city,state
382010,Gandhinagar HO,Gandhinagar,Gujarat
382007,Sector 1,Gandhinagar,Gujarat
382007,Sector 2,Gandhinagar,Gujarat
382007,Sector 3,Gandhinagar,Gujarat
382007,Sector 4,Gandhinagar,Gujarat
382007,Sector 5,Gandhinagar,Gujarat
382007,Sector 6,Gandhinagar,Gujarat
382007,Sector 7,Gandhinagar,Gujarat
382007,Sector 8,Gandhinagar,Gujarat
382007,Sector 9,Gandhinagar,Gujarat
382007,Sector 10,Gandhinagar,Gujarat
382007,Sector 11,Gandhinagar,Gujarat
382007,Sector 12,Gandhinagar,Gujarat
382007,Sector 13,Gandhinagar,Gujarat
382007,Sector 14,Gandhinagar,Gujarat
382007,Sector 15,Gandhinagar,Gujarat
382016,Sector 16,Gandhinagar,Gujarat
382016,Sector 17,Gandhinagar,Gujarat
382016,Sector 18,Gandhinagar,Gujarat
382016,Sector 19,Gandhinagar,Gujarat
382021,Sector 20,Gandhinagar,Gujarat
382021,Sector 21,Gandhinagar,Gujarat
382021,Sector 22,Gandhinagar,Gujarat
382021,Sector 23,Gandhinagar,Gujarat
382021,Sector 24,Gandhinagar,Gujarat
382021,Sector 25,Gandhinagar,Gujarat
382021,Sector 26,Gandhinagar,Gujarat
382021,Sector 27,Gandhinagar,Gujarat
382028,Sector 28,Gandhinagar,Gujarat
382028,Sector 29,Gandhinagar,Gujarat
382028,Sector 30,Gandhinagar,Gujarat
382028,Sector 31,Gandhinagar,Gujarat
382028,Sector 32,Gandhinagar,Gujarat
382028,Sector 33,Gandhinagar,Gujarat
382028,Sector 34,Gandhinagar,Gujarat
382042,Sector 35,Gandhinagar,Gujarat
382042,Sector 36,Gandhinagar,Gujarat
382042,Sector 37,Gandhinagar,Gujarat
382042,Sector 38,Gandhinagar,Gujarat
382042,Sector 39,Gandhinagar,Gujarat
382042,Sector 40,Gandhinagar,Gujarat
382042,Sector 41,Gandhinagar,Gujarat
382042,Sector 42,Gandhinagar,Gujarat
382042,Sector 43,Gandhinagar,Gujarat
382042,Sector 44,Gandhinagar,Gujarat
382042,Sector 45,Gandhinagar,Gujarat
382042,Sector 46,Gandhinagar,Gujarat
382042,Sector 47,Gandhinagar,Gujarat
382042,Sector 48,Gandhinagar,Gujarat
382042,Sector 49,Gandhinagar,Gujarat
382042,Sector 50,Gandhinagar,Gujarat
382421,Adalaj,Gandhinagar,Gujarat
382422,Infocity,Gandhinagar,Gujarat
382423,Kudasan,Gandhinagar,Gujarat
382424,Raysan,Gandhinagar,Gujarat
382428,Sargasan,Gandhinagar,Gujarat
382650,Kalol,Gandhinagar,Gujarat
pincode,area,city,state
364001,Bhavnagar HO,Bhavnagar,Gujarat
364002,Kalanala,Bhavnagar,Gujarat
364003,Waghawadi Road,Bhavnagar,Gujarat
364004,Krishnanagar,Bhavnagar,Gujarat
364005,Bortalav,Bhavnagar,Gujarat
364006,Nilambaug,Bhavnagar,Gujarat
364007,Subhashnagar,Bhavnagar,Gujarat
364008,Ghogha Circle,Bhavnagar,Gujarat
364009,Talaja Road,Bhavnagar,Gujarat
364010,Sidsar,Bhavnagar,Gujarat
364011,Chitra GIDC,Bhavnagar,Gujarat
364012,Kaliyabid,Bhavnagar,Gujarat
364013,Ruvarni,Bhavnagar,Gujarat
364014,Vartej,Bhavnagar,Gujarat
364015,Panwadi,Bhavnagar,Gujarat
364016,Sardarnagar,Bhavnagar,Gujarat
364017,Vadva,Bhavnagar,Gujarat
364018,Bhavnagar Airport Area,Bhavnagar,Gujarat
364019,Ghogha Road,Bhavnagar,Gujarat
364020,Shivaji Nagar,Bhavnagar,Gujarat
364021,Bortalav Extension,Bhavnagar,Gujarat
364022,Jewels Circle,Bhavnagar,Gujarat
364023,Haluriya Chowk,Bhavnagar,Gujarat
364024,Diamond Chowk,Bhavnagar,Gujarat
364025,Anandnagar,Bhavnagar,Gujarat
364026,Kumbharwada,Bhavnagar,Gujarat
364027,Sector Area,Bhavnagar,Gujarat
364028,Gariadhar Road,Bhavnagar,Gujarat
364029,Shihor Road,Bhavnagar,Gujarat
364030,Ghogha Port,Bhavnagar,Gujarat
364031,Alang Ship Breaking Yard,Bhavnagar,Gujarat
pincode,area,city,state
361001,Jamnagar HO,Jamnagar,Gujarat
361002,Ranjit Road,Jamnagar,Gujarat
361003,Digvijay Plot,Jamnagar,Gujarat
361004,Gulabnagar,Jamnagar,Gujarat
361005,Panchvati,Jamnagar,Gujarat
361006,Patel Colony,Jamnagar,Gujarat
361007,Gokulnagar,Jamnagar,Gujarat
361008,Krushnanagar,Jamnagar,Gujarat
361009,Kamdar Colony,Jamnagar,Gujarat
361010,Summair Club Road,Jamnagar,Gujarat
361011,Indira Marg,Jamnagar,Gujarat
361012,Air Force Area,Jamnagar,Gujarat
361013,Bedi Port,Jamnagar,Gujarat
361140,Moti Khavdi,Jamnagar,Gujarat
361141,Khavdi,Jamnagar,Gujarat
361142,Reliance Greens,Jamnagar,Gujarat
361150,Jamjodhpur,Jamnagar,Gujarat
361160,Lalpur,Jamnagar,Gujarat
361170,Dhrol,Jamnagar,Gujarat
361280,Kalavad,Jamnagar,Gujarat
361305,Okha,Jamnagar,Gujarat
361306,Mithapur,Jamnagar,Gujarat
361315,Dwarka,Jamnagar,Gujarat
pincode,area,city,state
362001,Junagadh HO,Junagadh,Gujarat
362002,Kalwa Chowk,Junagadh,Gujarat
362003,M.G. Road,Junagadh,Gujarat
362004,Joshipura,Junagadh,Gujarat
362005,Zanzarda Road,Junagadh,Gujarat
362006,Azad Chowk,Junagadh,Gujarat
362007,Sardar Baug,Junagadh,Gujarat
362008,Vanthali Road,Junagadh,Gujarat
362009,Bilkha Road,Junagadh,Gujarat
362010,Timbawadi,Junagadh,Gujarat
362011,GIDC Area,Junagadh,Gujarat
362012,Dolatpara,Junagadh,Gujarat
362013,Majevdi Gate,Junagadh,Gujarat
362014,Keshod Road,Junagadh,Gujarat
362015,Girnar Road,Junagadh,Gujarat
362016,Uparkot Area,Junagadh,Gujarat
362020,Vanthali,Junagadh,Gujarat
362130,Keshod,Junagadh,Gujarat
362220,Mangrol,Junagadh,Gujarat
362225,Malia Hatina,Junagadh,Gujarat
362245,Veraval Road,Junagadh,Gujarat
362255,Chorvad,Junagadh,Gujarat
pincode,area,city,state
388001,Anand HO,Anand,Gujarat
388002,Vallabh Vidyanagar,Anand,Gujarat
388003,Mogri,Anand,Gujarat
388004,Gamdi,Anand,Gujarat
388005,Karamsad,Anand,Gujarat
388006,Bakrol,Anand,Gujarat
388007,Chikhodra,Anand,Gujarat
388008,Bhalej,Anand,Gujarat
388009,Samarkha,Anand,Gujarat
388010,Navli,Anand,Gujarat
388011,Umreth,Anand,Gujarat
388120,Petlad,Anand,Gujarat
388121,Borsad,Anand,Gujarat
388130,Sojitra,Anand,Gujarat
388135,Anklav,Anand,Gujarat
388140,Ras,Anand,Gujarat
388150,Tarapur,Anand,Gujarat
388160,Khambhat (Cambay),Anand,Gujarat
388170,Virpur,Anand,Gujarat
388180,Dharmaj,Anand,Gujarat
pincode,area,city,state
396445,Navsari HO,Navsari,Gujarat
396424,Jalalpore,Navsari,Gujarat
396406,Gandevi,Navsari,Gujarat
396463,Chikhli,Navsari,Gujarat
396472,Maroli,Navsari,Gujarat
396436,Matvad,Navsari,Gujarat
396439,Amalsad,Navsari,Gujarat
396325,Kabilpore,Navsari,Gujarat
396321,Bilimora,Navsari,Gujarat
396321,Antalia,Navsari,Gujarat
396415,Vijalpore,Navsari,Gujarat
396580,Dandi,Navsari,Gujarat
396521,Rankuva,Navsari,Gujarat
396403,Sisodra,Navsari,Gujarat
396460,Eru,Navsari,Gujarat
396590,Navsari Agricultural Area,Navsari,Gujarat
pincode,area,city,state
396321,Bilimora RS,Navsari,Gujarat
396321,Desra,Navsari,Gujarat
396325,Kabilpore Extension,Navsari,Gujarat
396403,Navsari Bazaar,Navsari,Gujarat
396412,Onjal,Navsari,Gujarat
396415,Vijalpore Road,Navsari,Gujarat
396427,Pardi Bhadeli,Navsari,Gujarat
396433,Sandalpor,Navsari,Gujarat
396436,Navsari Rural,Navsari,Gujarat
396439,Khergam,Navsari,Gujarat
396450,Chovisi,Navsari,Gujarat
396460,Navsari Station Area,Navsari,Gujarat
396463,Rumla,Navsari,Gujarat
396472,Untdi,Navsari,Gujarat
396521,Degam,Navsari,Gujarat
396530,Khergam Rural,Navsari,Gujarat
396560,Chikhli Rural,Navsari,Gujarat
396580,Dandi Coastal Area,Navsari,Gujarat
pincode,area,city,state
363641,Morbi HO,Morbi,Gujarat
363642,Sanala Road,Morbi,Gujarat
363643,Ravapar Road,Morbi,Gujarat
363644,Mahendranagar,Morbi,Gujarat
363645,Shanala,Morbi,Gujarat
363646,Lajai,Morbi,Gujarat
363647,Trajpar,Morbi,Gujarat
363650,Wankaner,Morbi,Gujarat
363651,Wankaner Bazar,Morbi,Gujarat
363652,Amar Nagar,Morbi,Gujarat
363653,Jetpar,Morbi,Gujarat
363654,Nava Sadulka,Morbi,Gujarat
363655,Old Ghuntu Road,Morbi,Gujarat
363656,GIDC Morbi,Morbi,Gujarat
363657,Halvad Road,Morbi,Gujarat
pincode,area,city,state
363660,Halvad,Morbi,Gujarat
363670,Maliya Miyana,Morbi,Gujarat
363680,Kutch Border Area,Morbi,Gujarat
363621,Navlakhi Port,Morbi,Gujarat
363622,Paneli Road,Morbi,Gujarat
363623,Sapar,Morbi,Gujarat
363624,Bela Rangpar,Morbi,Gujarat
363630,Virpar,Morbi,Gujarat
pincode,area,city,state
400001,Mumbai GPO, Mumbai,Maharashtra
400002,Kalbadevi,Mumbai,Maharashtra
400003,Mandvi,Mumbai,Maharashtra
400004,Girgaon,Mumbai,Maharashtra
400005,Colaba,Mumbai,Maharashtra
400006,Malabar Hill,Mumbai,Maharashtra
400007,Grant Road,Mumbai,Maharashtra
400008,Mumbai Central,Mumbai,Maharashtra
400009,Dongri,Mumbai,Maharashtra
400010,Mazgaon,Mumbai,Maharashtra
400011,Jacob Circle,Mumbai,Maharashtra
400012,Parel,Mumbai,Maharashtra
400013,Delisle Road,Mumbai,Maharashtra
400014,Dadar East,Mumbai,Maharashtra
400015,Sewri,Mumbai,Maharashtra
400016,Mahim,Mumbai,Maharashtra
400017,Dharavi,Mumbai,Maharashtra
400018,Worli,Mumbai,Maharashtra
400019,Matunga,Mumbai,Maharashtra
400020,Marine Lines,Mumbai,Maharashtra
400021,Nariman Point,Mumbai,Maharashtra
400022,Sion,Mumbai,Maharashtra
400024,Chembur,Mumbai,Maharashtra
400025,Prabhadevi,Mumbai,Maharashtra
400026,Cumballa Hill,Mumbai,Maharashtra
400028,Dadar West,Mumbai,Maharashtra
400029,Santacruz East,Mumbai,Maharashtra
400030,Shivaji Park,Mumbai,Maharashtra
400031,Wadala,Mumbai,Maharashtra
400032,Govt Colony,Mumbai,Maharashtra
400033,Kalachowki,Mumbai,Maharashtra
400034,Altamount Road,Mumbai,Maharashtra
400035,Mulund Colony,Mumbai,Maharashtra
400036,August Kranti Maidan,Mumbai,Maharashtra
400037,Antop Hill,Mumbai,Maharashtra
400038,Ballard Estate,Mumbai,Maharashtra
400039,Vidyavihar,Mumbai,Maharashtra
400040,Santacruz West,Mumbai,Maharashtra
400049,Juhu,Mumbai,Maharashtra
400050,Bandra West,Mumbai,Maharashtra
400051,Bandra East,Mumbai,Maharashtra
400052,Khar,Mumbai,Maharashtra
400053,Andheri West,Mumbai,Maharashtra
400054,Andheri East,Mumbai,Maharashtra
400055,Vile Parle East,Mumbai,Maharashtra
400056,Vile Parle West,Mumbai,Maharashtra
400057,Ghatkopar West,Mumbai,Maharashtra
400058,Ghatkopar East,Mumbai,Maharashtra
400059,Jogeshwari East,Mumbai,Maharashtra
400060,Jogeshwari West,Mumbai,Maharashtra
400061,Goregaon West,Mumbai,Maharashtra
400062,Goregaon East,Mumbai,Maharashtra
400063,Malad East,Mumbai,Maharashtra
400064,Malad West,Mumbai,Maharashtra
400065,Aarey Colony,Mumbai,Maharashtra
400066,Borivali East,Mumbai,Maharashtra
400067,Borivali West,Mumbai,Maharashtra
400068,Dahisar East,Mumbai,Maharashtra
400069,Dahisar West,Mumbai,Maharashtra
400070,Kurla,Mumbai,Maharashtra
400071,Chembur Colony,Mumbai,Maharashtra
400072,Sakinaka,Mumbai,Maharashtra
400073,Tilak Nagar,Mumbai,Maharashtra
400074,Trombay,Mumbai,Maharashtra
400075,Powai,Mumbai,Maharashtra
400076,IIT Powai,Mumbai,Maharashtra
400077,Govandi,Mumbai,Maharashtra
400078,Mulund West,Mumbai,Maharashtra
400079,Mulund East,Mumbai,Maharashtra
400080,Bhandup West,Mumbai,Maharashtra
400081,Bhandup East,Mumbai,Maharashtra
400082,Kanjurmarg,Mumbai,Maharashtra
400083,Vikhroli West,Mumbai,Maharashtra
400084,Vikhroli East,Mumbai,Maharashtra
400085,Govandi East,Mumbai,Maharashtra
400086,Ghatkopar,Mumbai,Maharashtra
pincode,area,city,state
400095,Gorai,Mumbai,Maharashtra
400092,Kandivali West,Mumbai,Maharashtra
400101,Kandivali East,Mumbai,Maharashtra
400104,MHADA Colony,Mumbai,Maharashtra
400097,Malad (West Ext),Mumbai,Maharashtra
400093,Chakala,Mumbai,Maharashtra
400099,Sahar Airport,Mumbai,Maharashtra
400102,Oshiwara,Mumbai,Maharashtra
400103,Motilal Nagar,Mumbai,Maharashtra
pincode,area,city,state
400091,Kandivali East (Thakur Village),Mumbai,Maharashtra
400092,Kandivali West,Mumbai,Maharashtra
400067,Charkop,Mumbai,Maharashtra
400062,Oberoi Garden City (Goregaon East),Mumbai,Maharashtra
400063,Dindoshi,Mumbai,Maharashtra
400064,Orlem (Malad West),Mumbai,Maharashtra
400053,Versova,Mumbai,Maharashtra
400061,Yari Road,Mumbai,Maharashtra
400058,DN Nagar,Mumbai,Maharashtra
400049,JVPD Scheme (Juhu),Mumbai,Maharashtra
400050,Pali Hill (Bandra West),Mumbai,Maharashtra
400070,Nehru Nagar (Kurla),Mumbai,Maharashtra
400072,Chandivali,Mumbai,Maharashtra
400076,Hiranandani Gardens Powai,Mumbai,Maharashtra
400078,Nahur West,Mumbai,Maharashtra
400080,Nahur East,Mumbai,Maharashtra
400066,Kulupwadi (Borivali East),Mumbai,Maharashtra
400067,IC Colony (Borivali West),Mumbai,Maharashtra
400103,Four Bungalows,Mumbai,Maharashtra
pincode,area,city,state
400042,BARC,Mumbai,Maharashtra
400085,Trombay Refinery Area,Mumbai,Maharashtra
400094,Anushakti Nagar,Mumbai,Maharashtra
400096,Seepz,Mumbai,Maharashtra
400098,Kalina (University Area),Mumbai,Maharashtra
400020,Custom House (specific zone),Mumbai,Maharashtra
pincode,area,city,state
411001,Pune GPO,Pune,Maharashtra
411002,Shaniwar Peth,Pune,Maharashtra
411003,Khadki,Pune,Maharashtra
411004,Deccan Gymkhana,Pune,Maharashtra
411005,Shivajinagar,Pune,Maharashtra
411006,Yerwada,Pune,Maharashtra
411007,Aundh,Pune,Maharashtra
411008,University Area,Pune,Maharashtra
411009,Parvati,Pune,Maharashtra
411011,Rasta Peth,Pune,Maharashtra
411012,Dapodi,Pune,Maharashtra
411013,Hadapsar,Pune,Maharashtra
411014,Viman Nagar,Pune,Maharashtra
411015,Vishrantwadi,Pune,Maharashtra
411016,Model Colony,Pune,Maharashtra
411017,Pimpri,Pune,Maharashtra
411018,Chinchwad,Pune,Maharashtra
411019,Akurdi,Pune,Maharashtra
411020,Bhosari,Pune,Maharashtra
411021,Baner,Pune,Maharashtra
411022,Warje,Pune,Maharashtra
411023,Katraj,Pune,Maharashtra
411024,Dhankawadi,Pune,Maharashtra
411025,Pimple Gurav,Pune,Maharashtra
411026,Pimple Saudagar,Pune,Maharashtra
411027,Wakad,Pune,Maharashtra
411028,Magarpatta,Pune,Maharashtra
411029,Kothrud,Pune,Maharashtra
411030,Karve Nagar,Pune,Maharashtra
411031,Bibwewadi,Pune,Maharashtra
411032,Kharadi,Pune,Maharashtra
411033,Talegaon,Pune,Maharashtra
411034,Nigdi,Pune,Maharashtra
411035,Moshi,Pune,Maharashtra
411036,Lohegaon,Pune,Maharashtra
411037,Kondhwa,Pune,Maharashtra
411038,Bavdhan,Pune,Maharashtra
411039,Chakan,Pune,Maharashtra
411040,Wanowrie,Pune,Maharashtra
411041,Nanded City,Pune,Maharashtra
411042,Ganesh Peth,Pune,Maharashtra
411043,Sinhagad Road,Pune,Maharashtra
411044,Pashan,Pune,Maharashtra
411045,Sus,Pune,Maharashtra
411046,Ambegaon,Pune,Maharashtra
411047,Hinjewadi,Pune,Maharashtra
411048,Undri,Pune,Maharashtra
411049,Koregaon Park,Pune,Maharashtra
411052,Shivane,Pune,Maharashtra
411057,Balewadi,Pune,Maharashtra
pincode,area,city,state
411060,Mundhwa,Pune,Maharashtra
411061,Pimple Nilakh,Pune,Maharashtra
411062,Spine Road,Pune,Maharashtra
411063,Phursungi,Pune,Maharashtra
411067,Tathawade,Pune,Maharashtra
411068,Handewadi,Pune,Maharashtra
411070,Baner Extension,Pune,Maharashtra
411071,Ravet,Pune,Maharashtra
411072,Dighi,Pune,Maharashtra
pincode,area,city,state
440001,Nagpur GPO,Nagpur,Maharashtra
440002,Sadar,Nagpur,Maharashtra
440003,Civil Lines,Nagpur,Maharashtra
440004,Ayodhya Nagar,Nagpur,Maharashtra
440005,Kamptee Road,Nagpur,Maharashtra
440006,Katol Road,Nagpur,Maharashtra
440007,Dharampeth,Nagpur,Maharashtra
440008,Laxmi Nagar,Nagpur,Maharashtra
440009,Mahal,Nagpur,Maharashtra
